alloc,,robots,,perm,,reason,,time
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 1, 343594],,noPlanSynthesised,,96162
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 1, 271957],,noPlanSynthesised,,96181
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 2, 69749],,noPlanSynthesised,,96190
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 2, 213715],,noPlanSynthesised,,96210
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 1, 332230],,noPlanSynthesised,,96325
3,,[r3, r4, r5, r6, r1],,[3, 1, 1, 1, 161881],,noPlanSynthesised,,96429
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 2, 208840],,noPlanSynthesised,,96434
3,,[r3, r4, r5, r6, r1],,[2, 1, 1, 1, 123771],,noPlanSynthesised,,96437
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 2, 211350],,noPlanSynthesised,,96587
3,,[r3, r4, r5, r6, r1],,[6, 1, 1, 1, 301529],,noPlanSynthesised,,96694
3,,[r3, r4, r5, r6, r1],,[2, 1, 1, 2, 118719],,noPlanSynthesised,,96698
3,,[r3, r4, r5, r6, r1],,[1, 1, 1, 2, 258237],,noPlanSynthesised,,96703
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 1, 75887],,noPlanSynthesised,,96707
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 1, 294359],,noPlanSynthesised,,96711
3,,[r3, r4, r5, r6, r1],,[2, 1, 1, 1, 308977],,noPlanSynthesised,,96716
3,,[r3, r4, r5, r6, r1],,[3, 1, 1, 1, 252331],,noPlanSynthesised,,97008
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 1, 163645],,noPlanSynthesised,,97040
3,,[r3, r4, r5, r6, r1],,[2, 1, 1, 2, 42844],,noPlanSynthesised,,97045
3,,[r3, r4, r5, r6, r1],,[1, 1, 1, 2, 70149],,noPlanSynthesised,,97048
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 2, 146866],,noPlanSynthesised,,97052
3,,[r3, r4, r5, r6, r1],,[1, 1, 1, 1, 339386],,noPlanSynthesised,,97056
3,,[r3, r4, r5, r6, r1],,[5, 1, 1, 1, 341962],,noPlanSynthesised,,97063
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 2, 344503],,noPlanSynthesised,,97067
3,,[r3, r4, r5, r6, r1],,[2, 1, 1, 1, 153473],,noPlanSynthesised,,97073
3,,[r3, r4, r5, r6, r1],,[3, 1, 1, 1, 265929],,noPlanSynthesised,,97187
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 2, 343763],,noPlanSynthesised,,97193
3,,[r3, r4, r5, r6, r1],,[1, 1, 1, 2, 309384],,noPlanSynthesised,,97207
3,,[r3, r4, r5, r6, r1],,[3, 1, 1, 1, 360070],,noPlanSynthesised,,97354
3,,[r3, r4, r5, r6, r1],,[4, 1, 1, 1, 327154],,noPlanSynthesised,,97359
